TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LedgerId,NUMERIC
LedgerName,STRING
ShortName,STRING
GllDescription,STRING
LedgerCategoryCode,STRING
AlcLedgerTypeCode,STRING
ObjectTypeCode,STRING
CurrencyCode,STRING
PeriodSetName,STRING
AccountedPeriodType,STRING
FirstLedgerPeriodName,STRING
BalanceSegmentColumnName,STRING
LatestOpenedPeriodName,STRING
SlaAccountingMethodCode,STRING
SlaAccountingMethodType,STRING
SlaDescriptionLanguage,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
