TargetField,DataType
Parentsystemid,INTEGER
Systemid,INTEGER
LedgerId,INTEGER
LedgerIdName,STRING
LedgerName,STRING
LedgerCurrencyCode,STRING
GeneralLedgerJournalKey,STRING
JournalBatchId,NUMERIC
JournalHeaderId,NUMERIC
JournalHeaderName,STRING
JournalHeaderDesc,STRING
AccrualRevFlag,STRING
JournalLineNumber,NUMERIC
JournalLineDesc,STRING
JournalBatchName,STRING
JournalBatchDesc,STRING
JournalBatchPostedDate,DATETIME
JournalCategory,STRING
JournalCategoryDesc,STRING
LegalEntity,STRING
CodeCombinationId,NUMERIC
LocationCode,STRING
ClientCode,STRING
DepartmentCode,STRING
AccountCode,STRING
InterCompanyCode,STRING
Future2Code,STRING
PeriodName,STRING
EffectiveDate,DATETIME
JournalSource,STRING
JournalSourceName,STRING
JournalStatus,STRING
CapexCode,STRING
ApplicationId,NUMERIC
EventId,NUMERIC
AccountingDate,DATETIME
GeneralLedgerTransferDate,DATETIME
AccountingEventHeaderId,NUMERIC
AccountingEventLineNumber,NUMERIC
AccountingEventDate,DATETIME
AccountingEventNumber,NUMERIC
CurrencyConversionRate,NUMERIC
CurrencyConversionDate,DATETIME
CurrencyConversionType,STRING
AccountingEventClassName,STRING
AccountingEventTypeName,STRING
EnteredDebit,NUMERIC
EnteredCredit,NUMERIC
TransactionCurrencyCode,STRING
ReconciliationReference,STRING
GeneralHeaderExternalReference,STRING
JournalHeaderBalanceType,STRING
JournalHeaderBalancedFlag,STRING
JournalHeaderContext,STRING
JournalHeaderPostedDate,DATETIME
AccountedDebit,NUMERIC
AccountedCredit,NUMERIC
SourceCreatedBy,NUMERIC
SourceCreationDate,DATETIME
SourceLastUpdatedBy,NUMERIC
SourceLastUpdateDate,DATETIME
JournalLineContext,STRING
JournalLineTaxCode,STRING
JournalLineIgnoreRateFlag,STRING
TransferToIntercompany,STRING
EntityCode,STRING
SourceId,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
