TargetField,DataType
ParentSystemId,NUMERIC
SystemId,INTEGER
LedgerId,INTEGER
LedgerIdName,STRING
LedgerName,STRING
LedgerCurrencyCode,STRING
GeneralLedgerJournalKey,STRING
JournalBatchId,NUMERIC
JournalHeaderId,NUMERIC
JournalHeaderName,STRING
JournalHeaderDesc,STRING
AccrualRevFlag,STRING
JournalLineNumber,NUMERIC
JournalLineDesc,STRING
JournalBatchName,STRING
JournalBatchDesc,STRING
JournalBatchPostedDate,DATETIME
JournalCategory,STRING
JournalCategoryDesc,STRING
LegalEntity,STRING
CodeCombinationId,NUMERIC
LocationCode,STRING
ClientCode,STRING
DepartmentCode,STRING
AccountCode,STRING
InterCompanyCode,STRING
Future2Code,STRING
PeriodName,STRING
EffectiveDate,DATETIME
JournalSource,STRING
JournalSourceName,STRING
JournalStatus,STRING
ApplicationId,NUMERIC
EventId,NUMERIC
AccountingDate,DATETIME
GeneralLedgerTransferDate,DATETIME
AccountingEventHeaderId,NUMERIC
AccountingEventLineNumber,NUMERIC
AccountingEventDate,DATETIME
AccountingEventNumber,NUMERIC
CurrencyConversionRate,NUMERIC
CurrencyConversionDate,DATETIME
CurrencyConversionType,STRING
AccountingEventClassName,STRING
AccountingEventTypeName,STRING
EnteredDebit,NUMERIC
EnteredCredit,NUMERIC
NetEnteredAmount,NUMERIC
NetAccountedAmount,NUMERIC
GlobalDebit,NUMERIC
GlobalCredit,NUMERIC
EntityCode,STRING
SourceId,NUMERIC
CapexCode,STRING
ReconciliationReference,STRING
GeneralHeaderExternalReference,STRING
JournalHeaderBalanceType,STRING
JournalHeaderBalancedFlag,STRING
JournalHeaderContext,STRING
JournalHeaderPostedDate,DATETIME
SourceCreatedBy,STRING
SourceCreatedByName,STRING
SourceCreationDate,DATETIME
SourceLastUpdatedBy,STRING
SourceLastUpdatedByName,STRING
SourceLastUpdateDate,DATETIME
IntercompanyLocationName,STRING
IntercompanyLocationCountry,STRING
TargetedClosedDate,DATE
JournalLineContext,STRING
JournalLineTaxCode,STRING
JournalLineIgnoreRateFlag,STRING
TransferToIntercompany,STRING
CustomerTransactionNumber,STRING
CustomerTransactionId,NUMERIC
TransactionDescription,STRING
BillToCustomerId,NUMERIC
BillToSiteUseId,NUMERIC
VendorId,NUMERIC
VendorSiteId,NUMERIC
DocumentSequenceValue,NUMERIC
TransactionCurrencyCode,STRING
CustomerTransLineNumber,NUMERIC
DistributionOriginalGLDate,DATETIME
DistributionAmount,NUMERIC
DistributionAmountBase,NUMERIC
DistributionGLDate,DATETIME
DistributionGLPostedDate,DATETIME
InvoicedQuantity,NUMERIC
LineInvoicedQuantity,NUMERIC
TransactionCreationDate,DATETIME
TransactionDate,DATETIME
TransactionType,STRING
UnitSellingPrice,NUMERIC
UnitSellingPriceBase,NUMERIC
TransactionLineDescription,STRING
InvoiceLineItemDescription,STRING
LineTypeCode,STRING
LineSource,STRING
CashOrCredit,STRING
ExpenditureType,STRING
DistributionAccountingDate,DATETIME
ExpenseReportKey,STRING
InvoiceDistributionId,NUMERIC
MerchantName,STRING
AccountingClass,STRING
DistributionDetailAmountCredit,NUMERIC
DistributionDetailAmountDebit,NUMERIC
DistributionDetailAmountCreditBase,NUMERIC
DistributionDetailAmountDebitBase,NUMERIC
DistributionDetailLineNumber,NUMERIC
DistributionCount,NUMERIC
DistributionEnteredDebit,NUMERIC
DistributionEnteredCredit,NUMERIC
DistributionNetEnteredAmount,NUMERIC
DistributionAccountedDebit,NUMERIC
DistributionAccountedCredit,NUMERIC
DistributionNetAccountedAmount,NUMERIC
RankJournal,NUMERIC
RankJournalInvoice,NUMERIC
RankJournalInvoiceLine,NUMERIC
RankInvoiceDistribution,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
