TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
GLBalanceKey,STRING
LedgerId,INTEGER
CodeCombinationId,NUMERIC
PeriodName,STRING
ActualFlag,STRING
LastUpdateDate,DATETIME
LastUpdatedBy,NUMERIC
TranslatedFlag,STRING
RevaluationStatus,STRING
PeriodType,STRING
PeriodYear,NUMERIC
PeriodNum,NUMERIC
TransactionCurrency,STRING
TransCurrPeriodNetDr,NUMERIC
TransCurrPeriodNetCr,NUMERIC
TransCurrPeriodNet,NUMERIC
TransCurrBeginBalanceDr,NUMERIC
TransCurrBeginBalanceCr,NUMERIC
TransCurrOpeningBalance,NUMERIC
TransCurrEndingBalance,NUMERIC
TransCurrQuarterToDateDr,NUMERIC
TransCurrQuarterToDateCr,NUMERIC
TransCurrQuarterToDate,NUMERIC
TransCurrYearToDateDr,NUMERIC
TransCurrYearToDateCr,NUMERIC
TransCurrYearToDate,NUMERIC
LedgerCurrency,STRING
LedgerCurrPeriodNetDr,NUMERIC
LedgerCurrPeriodNetCr,NUMERIC
LedgerCurrPeriodNet,NUMERIC
LedgerCurrBeginBalanceDr,NUMERIC
LedgerCurrBeginBalanceCr,NUMERIC
LedgerCurrOpeningBalance,NUMERIC
LedgerCurrEndingBalance,NUMERIC
LedgerCurrQuarterToDateDr,NUMERIC
LedgerCurrQuarterToDateCr,NUMERIC
LedgerCurrQuarterToDate,NUMERIC
LedgerCurrYearToDateDr,NUMERIC
LedgerCurrYearToDateCr,NUMERIC
LedgerCurrYearToDate,NUMERIC
BudgetVersionId,NUMERIC
EncumbranceTypeId,NUMERIC
EncumbranceDocId,NUMERIC
EncumbranceLineNum,NUMERIC
LocationCode,STRING
ClientCode,STRING
DepartmentCode,STRING
AccountCode,STRING
IntercompanyCode,STRING
FutureCode,STRING
LegalEntity,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
