TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
BookTypeCode,STRING
PeriodName,STRING
PeriodCounter,NUMERIC
FiscalYear,NUMERIC
PeriodNumber,NUMERIC
PeriodOpenDate,DATETIME
PeriodCloseDate,DATETIME
CalendarPeriodOpenDate,DATETIME
CalendarPeriodEndDate,DATETIME
DepreciationRun,STRING
GeneralLedgerTransferFlag,STRING
SubledgerConversionStatus,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
