TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
BookTypeCode,STRING
AssetId,NUMERIC
AssetNumber,STRING
AssetCategoryId,NUMERIC
AssetDescription,STRING
AssetType,STRING
ManufacturerName,STRING
TagNumber,STRING
SerialNumber,STRING
ModelNumber,STRING
PropertyTypeCode,STRING
InUseFlag,STRING
OwnedOrLeased,STRING
TotalUnits,NUMERIC
DateEffective,DATETIME
DepreciationStartDate,DATETIME
DepreciationMethodCode,STRING
MethodName,STRING
CapitalizeFlag,STRING
DepreciateFlag,STRING
TransactionHeaderIdIn,NUMERIC
RetirementPendingFlag,STRING
PartialRetired,STRING
FullyRetired,STRING
LedgerId,NUMERIC
PeriodCounterCapitalized,NUMERIC
TotalLifeInMonths,NUMERIC
PeriodCounterFullRetired,NUMERIC
RemainingLifeInMonths,NUMERIC
AssetOriginalCost,NUMERIC
AssetCurrentCost,NUMERIC
AdjustedCost,NUMERIC
DepreciationAmount,NUMERIC
YtdDepreciationAmount,NUMERIC
DepreciationReserveAmount,NUMERIC
NetBookValue,NUMERIC
DatePlacedInService,DATETIME
ProrateConvention,STRING
ProrateDate,DATETIME
ConvertedAssetNumber,STRING
RetirementDate,DATETIME
UnitsRetired,NUMERIC
NetBookValueRetired,NUMERIC
CapitalizationDate,DATETIME
ProjectCCode,STRING
CodeCombinationId,NUMERIC
LocationId,NUMERIC
AssetInvoiceId,NUMERIC
InvoiceId,NUMERIC
FeederSystemName,STRING
InvoiceNumber,STRING
InvoiceLineNumber,NUMERIC
InvoiceDate,DATETIME
OrganizationId,NUMERIC
VendorId,NUMERIC
VendorSiteId,NUMERIC
PurchaseOrderNumber,STRING
InvoiceAmount,NUMERIC
RankLocation,INTEGER
RankAssetInvoice,INTEGER
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
