TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CashReceiptKey,STRING
CashReceiptId,NUMERIC
LedgerId,INTEGER
ReceivableApplicationId,NUMERIC
ReceiptNumber,STRING
ReceiptDate,DATETIME
ReceiptStatus,STRING
ReceiptType,STRING
ConfirmedFlag,STRING
CurrencyCode,STRING
InvoiceNumber,STRING
DocumentSequenceValue,NUMERIC
PayFromCustomerId,NUMERIC
CustomerSiteUseId,NUMERIC
LegalEntity,STRING
CodeCombinationId,NUMERIC
LocationCode,STRING
ClientCode,STRING
DepartmentCode,STRING
AccountCode,STRING
InterCompanyCode,STRING
Future2Code,STRING
ApplicationType,STRING
ApplicationStatus,STRING
GeneralLedgerDate,DATETIME
PeriodName,STRING
PeriodYear,NUMERIC
ConversionRate,NUMERIC
Amount,NUMERIC
AmountApplied,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
