TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
RETIREMENT_ID,NUMERIC
BOOK_TYPE_CODE,STRING
ASSET_ID,NUMERIC
TRANSACTION_HEADER_ID_IN,NUMERIC
DATE_RETIRED,DATETIME
DATE_EFFECTIVE,DATETIME
COST_RETIRED,NUMERIC
STATUS,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
RETIREMENT_PRORATE_CONVENTION,STRING
TRANSACTION_HEADER_ID_OUT,NUMERIC
UNITS,NUMERIC
COST_OF_REMOVAL,NUMERIC
NBV_RETIRED,NUMERIC
GAIN_LOSS_AMOUNT,NUMERIC
PROCEEDS_OF_SALE,NUMERIC
GAIN_LOSS_TYPE_CODE,STRING
RETIREMENT_TYPE_CODE,STRING
ITC_RECAPTURED,NUMERIC
ITC_RECAPTURE_ID,NUMERIC
REFERENCE_NUM,STRING
SOLD_TO,STRING
TRADE_IN_ASSET_ID,NUMERIC
STL_METHOD_CODE,STRING
STL_LIFE_IN_MONTHS,NUMERIC
STL_DEPRN_AMOUNT,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
REVAL_RESERVE_RETIRED,NUMERIC
UNREVALUED_COST_RETIRED,NUMERIC
BONUS_RESERVE_RETIRED,NUMERIC
RECOGNIZE_GAIN_LOSS,STRING
REDUCTION_RATE,NUMERIC
RECAPTURE_RESERVE_FLAG,STRING
LIMIT_PROCEEDS_FLAG,STRING
TERMINAL_GAIN_LOSS,STRING
RESERVE_RETIRED,NUMERIC
RECAPTURE_AMOUNT,NUMERIC
EOFY_RESERVE,NUMERIC
IMPAIR_RESERVE_RETIRED,NUMERIC
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
