TargetField,DataType
LINE_ID,NUMERIC
SOURCE_ID,NUMERIC
SOURCE_TABLE,STRING
SOURCE_TYPE,STRING
CODE_COMBINATION_ID,NUMERIC
AMOUNT_DR,NUMERIC
AMOUNT_CR,NUMERIC
ACCTD_AMOUNT_DR,NUMERIC
ACCTD_AMOUNT_CR,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
ORG_ID,NUMERIC
SOURCE_TABLE_SECONDARY,STRING
SOURCE_ID_SECONDARY,NUMERIC
CURRENCY_CODE,STRING
CURRENCY_CONVERSION_RATE,NUMERIC
CURRENCY_CONVERSION_TYPE,STRING
CURRENCY_CONVERSION_DATE,DATE
TAXABLE_ENTERED_DR,NUMERIC
TAXABLE_ENTERED_CR,NUMERIC
TAXABLE_ACCOUNTED_DR,NUMERIC
TAXABLE_ACCOUNTED_CR,NUMERIC
TAX_LINK_ID,NUMERIC
THIRD_PARTY_ID,NUMERIC
THIRD_PARTY_SUB_ID,NUMERIC
REVERSED_SOURCE_ID,NUMERIC
TAX_CODE_ID,NUMERIC
LOCATION_SEGMENT_ID,NUMERIC
SOURCE_TYPE_SECONDARY,STRING
TAX_GROUP_CODE_ID,NUMERIC
REF_CUSTOMER_TRX_LINE_ID,NUMERIC
REF_CUST_TRX_LINE_GL_DIST_ID,NUMERIC
REF_ACCOUNT_CLASS,STRING
ACTIVITY_BUCKET,STRING
REF_LINE_ID,NUMERIC
FROM_AMOUNT_DR,NUMERIC
FROM_AMOUNT_CR,NUMERIC
FROM_ACCTD_AMOUNT_DR,NUMERIC
FROM_ACCTD_AMOUNT_CR,NUMERIC
REF_MF_DIST_FLAG,STRING
REF_DIST_CCID,NUMERIC
REF_PREV_CUST_TRX_LINE_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
SourceSystemId,NUMERIC
ParentSystemId,INTEGER
SystemId,INTEGER
