TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
APPLICATION_ID,NUMERIC
ID_FLEX_CODE,STRING
ID_FLEX_NUM,NUMERIC
APPLICATION_COLUMN_NAME,STRING
SEGMENT_NAME,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
SEGMENT_NUM,NUMERIC
APPLICATION_COLUMN_INDEX_FLAG,STRING
ENABLED_FLAG,STRING
REQUIRED_FLAG,STRING
DISPLAY_FLAG,STRING
DISPLAY_SIZE,NUMERIC
SECURITY_ENABLED_FLAG,STRING
MAXIMUM_DESCRIPTION_LEN,NUMERIC
CONCATENATION_DESCRIPTION_LEN,NUMERIC
FLEX_VALUE_SET_ID,NUMERIC
RANGE_CODE,STRING
DEFAULT_TYPE,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
