TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CATEGORY_ID,NUMERIC
SUMMARY_FLAG,STRING
ENABLED_FLAG,STRING
OWNED_LEASED,STRING
PRODUCTION_CAPACITY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CATEGORY_TYPE,STRING
CAPITALIZE_FLAG,STRING
SEGMENT1,STRING
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
SEGMENT6,STRING
SEGMENT7,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
PROPERTY_TYPE_CODE,STRING
PROPERTY_1245_1250_CODE,STRING
DATE_INEFFECTIVE,DATETIME
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
INVENTORIAL,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
