TargetField,DataType
ParentSystemId,INT64
SystemId,INT64
TERM_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
NAME,STRING
ENABLED_FLAG,STRING
DUE_CUTOFF_DAY,NUMERIC
DESCRIPTION,STRING
TYPE,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
RANK,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
LANGUAGE,STRING
SOURCE_LANG,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOL
InactiveDate,TIMESTAMP
InactiveReason,STRING
