TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
TOLERANCE_ID,NUMERIC
TOLERANCE_NAME,STRING
DESCRIPTION,STRING
PRICE_TOLERANCE,NUMERIC
QUANTITY_TOLERANCE,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
QTY_RECEIVED_TOLERANCE,NUMERIC
TAX_TOLERANCE,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
MAX_QTY_ORD_TOLERANCE,NUMERIC
MAX_QTY_REC_TOLERANCE,NUMERIC
SHIP_AMT_TOLERANCE,NUMERIC
RATE_AMT_TOLERANCE,NUMERIC
TOTAL_AMT_TOLERANCE,NUMERIC
TAX_TOL_AMT_RANGE,NUMERIC
TOLERANCE_TYPE,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
