TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
PERIOD_SET_NAME,STRING
PERIOD_NAME,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
START_DATE,DATETIME
END_DATE,DATETIME
YEAR_START_DATE,DATETIME
QUARTER_START_DATE,DATETIME
PERIOD_TYPE,STRING
PERIOD_YEAR,NUMERIC
PERIOD_NUM,NUMERIC
QUARTER_NUM,NUMERIC
ENTERED_PERIOD_NAME,STRING
ADJUSTMENT_PERIOD_FLAG,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
DESCRIPTION,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
CONTEXT,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
