TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LOOKUP_TYPE,STRING
LANGUAGE,STRING
LOOKUP_CODE,STRING
MEANING,STRING
DESCRIPTION,STRING
ENABLED_FLAG,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
LAST_UPDATE_DATE,DATETIME
SOURCE_LANG,STRING
SECURITY_GROUP_ID,NUMERIC
VIEW_APPLICATION_ID,NUMERIC
TERRITORY_CODE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
TAG,STRING
LEAF_NODE,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
