TargetField,DataType
ParentSystemID,INTEGER
SystemID,INTEGER
JE_HEADER_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LEDGER_ID,NUMERIC
JE_CATEGORY,STRING
JE_SOURCE,STRING
PERIOD_NAME,STRING
NAME,STRING
CURRENCY_CODE,STRING
STATUS,STRING
DATE_CREATED,DATETIME
ACCRUAL_REV_FLAG,STRING
MULTI_BAL_SEG_FLAG,STRING
ACTUAL_FLAG,STRING
DEFAULT_EFFECTIVE_DATE,DATETIME
CONVERSION_FLAG,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
ENCUMBRANCE_TYPE_ID,NUMERIC
BUDGET_VERSION_ID,NUMERIC
BALANCED_JE_FLAG,STRING
BALANCING_SEGMENT_VALUE,STRING
JE_BATCH_ID,NUMERIC
FROM_RECURRING_HEADER_ID,NUMERIC
UNIQUE_DATE,STRING
EARLIEST_POSTABLE_DATE,DATETIME
POSTED_DATE,DATETIME
ACCRUAL_REV_EFFECTIVE_DATE,DATETIME
ACCRUAL_REV_PERIOD_NAME,STRING
ACCRUAL_REV_STATUS,STRING
ACCRUAL_REV_JE_HEADER_ID,NUMERIC
ACCRUAL_REV_CHANGE_SIGN_FLAG,STRING
DESCRIPTION,STRING
CONTROL_TOTAL,NUMERIC
RUNNING_TOTAL_DR,NUMERIC
RUNNING_TOTAL_CR,NUMERIC
RUNNING_TOTAL_ACCOUNTED_DR,NUMERIC
RUNNING_TOTAL_ACCOUNTED_CR,NUMERIC
CURRENCY_CONVERSION_RATE,NUMERIC
CURRENCY_CONVERSION_TYPE,STRING
CURRENCY_CONVERSION_DATE,DATETIME
EXTERNAL_REFERENCE,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
CONTEXT,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
USSGL_TRANSACTION_CODE,STRING
CONTEXT2,STRING
DOC_SEQUENCE_ID,NUMERIC
DOC_SEQUENCE_VALUE,NUMERIC
JGZZ_RECON_CONTEXT,STRING
JGZZ_RECON_REF,STRING
TAX_STATUS_CODE,STRING
PARENT_JE_HEADER_ID,NUMERIC
REVERSED_JE_HEADER_ID,NUMERIC
ORIGINATING_BAL_SEG_VALUE,STRING
INTERCOMPANY_MODE,NUMERIC
DR_BAL_SEG_VALUE,STRING
CR_BAL_SEG_VALUE,STRING
REFERENCE_DATE,DATETIME
LOCAL_DOC_SEQUENCE_ID,NUMERIC
LOCAL_DOC_SEQUENCE_VALUE,NUMERIC
DISPLAY_ALC_JOURNAL_FLAG,STRING
JE_FROM_SLA_FLAG,STRING
POSTING_ACCT_SEQ_VERSION_ID,NUMERIC
POSTING_ACCT_SEQ_ASSIGN_ID,NUMERIC
POSTING_ACCT_SEQ_VALUE,NUMERIC
CLOSE_ACCT_SEQ_VERSION_ID,NUMERIC
CLOSE_ACCT_SEQ_ASSIGN_ID,NUMERIC
CLOSE_ACCT_SEQ_VALUE,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
