TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
ASSET_ID,NUMERIC
PO_VENDOR_ID,NUMERIC
ASSET_INVOICE_ID,NUMERIC
FIXED_ASSETS_COST,NUMERIC
DATE_EFFECTIVE,DATETIME
DATE_INEFFECTIVE,DATETIME
INVOICE_TRANSACTION_ID_IN,NUMERIC
INVOICE_TRANSACTION_ID_OUT,NUMERIC
DELETED_FLAG,STRING
PO_NUMBER,STRING
INVOICE_NUMBER,STRING
PAYABLES_BATCH_NAME,STRING
PAYABLES_CODE_COMBINATION_ID,NUMERIC
FEEDER_SYSTEM_NAME,STRING
CREATE_BATCH_DATE,DATETIME
CREATE_BATCH_ID,NUMERIC
INVOICE_DATE,DATETIME
PAYABLES_COST,NUMERIC
POST_BATCH_ID,NUMERIC
INVOICE_ID,NUMERIC
AP_DISTRIBUTION_LINE_NUMBER,NUMERIC
PAYABLES_UNITS,NUMERIC
SPLIT_MERGED_CODE,STRING
DESCRIPTION,STRING
PARENT_MASS_ADDITION_ID,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
UNREVALUED_COST,NUMERIC
MERGED_CODE,STRING
SPLIT_CODE,STRING
MERGE_PARENT_MASS_ADDITIONS_ID,NUMERIC
SPLIT_PARENT_MASS_ADDITIONS_ID,NUMERIC
PROJECT_ASSET_LINE_ID,NUMERIC
PROJECT_ID,NUMERIC
TASK_ID,NUMERIC
SOURCE_LINE_ID,NUMERIC
DEPRECIATE_IN_GROUP_FLAG,STRING
MATERIAL_INDICATOR_FLAG,STRING
PRIOR_SOURCE_LINE_ID,NUMERIC
INVOICE_DISTRIBUTION_ID,NUMERIC
INVOICE_LINE_NUMBER,NUMERIC
PO_DISTRIBUTION_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
