TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
TERRITORY_CODE,STRING
LANGUAGE,STRING
TERRITORY_SHORT_NAME,STRING
CREATED_BY,NUMERIC
CREATION_DATE,TIMESTAMP
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATE_LOGIN,NUMERIC
DESCRIPTION,STRING
SOURCE_LANG,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
