TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
JE_BATCH_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
SET_OF_BOOKS_ID_11I,NUMERIC
NAME,STRING
STATUS,STRING
STATUS_VERIFIED,STRING
ACTUAL_FLAG,STRING
DEFAULT_EFFECTIVE_DATE,DATETIME
AVERAGE_JOURNAL_FLAG,STRING
BUDGETARY_CONTROL_STATUS,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
STATUS_RESET_FLAG,STRING
DEFAULT_PERIOD_NAME,STRING
UNIQUE_DATE,STRING
EARLIEST_POSTABLE_DATE,DATETIME
POSTED_DATE,DATETIME
DATE_CREATED,DATETIME
DESCRIPTION,STRING
CONTROL_TOTAL,NUMERIC
RUNNING_TOTAL_DR,NUMERIC
RUNNING_TOTAL_CR,NUMERIC
RUNNING_TOTAL_ACCOUNTED_DR,NUMERIC
RUNNING_TOTAL_ACCOUNTED_CR,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
CONTEXT,STRING
PACKET_ID,NUMERIC
USSGL_TRANSACTION_CODE,STRING
CONTEXT2,STRING
POSTING_RUN_ID,NUMERIC
REQUEST_ID,NUMERIC
UNRESERVATION_PACKET_ID,NUMERIC
ORG_ID,NUMERIC
APPROVAL_STATUS_CODE,STRING
PARENT_JE_BATCH_ID,NUMERIC
POSTED_BY,NUMERIC
CHART_OF_ACCOUNTS_ID,NUMERIC
PERIOD_SET_NAME,STRING
ACCOUNTED_PERIOD_TYPE,STRING
GROUP_ID,NUMERIC
APPROVER_EMPLOYEE_ID,NUMERIC
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
