TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
ADJUSTMENT_ID,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
AMOUNT,NUMERIC
APPLY_DATE,DATE
GL_DATE,DATE
SET_OF_BOOKS_ID,NUMERIC
CODE_COMBINATION_ID,NUMERIC
TYPE,STRING
ADJUSTMENT_TYPE,STRING
STATUS,STRING
LINE_ADJUSTED,NUMERIC
FREIGHT_ADJUSTED,NUMERIC
TAX_ADJUSTED,NUMERIC
RECEIVABLES_CHARGES_ADJUSTED,NUMERIC
ASSOCIATED_CASH_RECEIPT_ID,NUMERIC
CHARGEBACK_CUSTOMER_TRX_ID,NUMERIC
BATCH_ID,NUMERIC
CUSTOMER_TRX_ID,NUMERIC
CUSTOMER_TRX_LINE_ID,NUMERIC
SUBSEQUENT_TRX_ID,NUMERIC
PAYMENT_SCHEDULE_ID,NUMERIC
RECEIVABLES_TRX_ID,NUMERIC
DISTRIBUTION_SET_ID,NUMERIC
GL_POSTED_DATE,DATE
COMMENTS,STRING
AUTOMATICALLY_GENERATED,STRING
CREATED_FROM,STRING
REASON_CODE,STRING
POSTABLE,STRING
APPROVED_BY,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
POSTING_CONTROL_ID,NUMERIC
ACCTD_AMOUNT,NUMERIC
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATE
REQUEST_ID,NUMERIC
ADJUSTMENT_NUMBER,STRING
ORG_ID,NUMERIC
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
DOC_SEQUENCE_VALUE,NUMERIC
DOC_SEQUENCE_ID,NUMERIC
ASSOCIATED_APPLICATION_ID,NUMERIC
CONS_INV_ID,NUMERIC
MRC_GL_POSTED_DATE,STRING
MRC_POSTING_CONTROL_ID,STRING
MRC_ACCTD_AMOUNT,STRING
ADJ_TAX_ACCT_RULE,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
LINK_TO_TRX_HIST_ID,NUMERIC
EVENT_ID,NUMERIC
UPGRADE_METHOD,STRING
AX_ACCOUNTED_FLAG,STRING
INTEREST_HEADER_ID,NUMERIC
INTEREST_LINE_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
