TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
FLEX_VALUE_SET_ID,STRING
FLEX_VALUE_ID,NUMERIC
FLEX_VALUE,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
ENABLED_FLAG,STRING
SUMMARY_FLAG,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
PARENT_FLEX_VALUE_LOW,STRING
PARENT_FLEX_VALUE_HIGH,STRING
STRUCTURED_HIERARCHY_LEVEL,NUMERIC
HIERARCHY_LEVEL,STRING
COMPILED_VALUE_ATTRIBUTES,STRING
VALUE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
ATTRIBUTE25,STRING
ATTRIBUTE26,STRING
ATTRIBUTE27,STRING
ATTRIBUTE28,STRING
ATTRIBUTE29,STRING
ATTRIBUTE30,STRING
ATTRIBUTE31,STRING
ATTRIBUTE32,STRING
ATTRIBUTE33,STRING
ATTRIBUTE34,STRING
ATTRIBUTE35,STRING
ATTRIBUTE36,STRING
ATTRIBUTE37,STRING
ATTRIBUTE38,STRING
ATTRIBUTE39,STRING
ATTRIBUTE40,STRING
ATTRIBUTE41,STRING
ATTRIBUTE42,STRING
ATTRIBUTE43,STRING
ATTRIBUTE44,STRING
ATTRIBUTE45,STRING
ATTRIBUTE46,STRING
ATTRIBUTE47,STRING
ATTRIBUTE48,STRING
ATTRIBUTE49,STRING
ATTRIBUTE50,STRING
ATTRIBUTE_SORT_ORDER,NUMERIC
FLEX_VALUE_MEANING,STRING
DESCRIPTION,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
