TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
METHOD_ID,NUMERIC
METHOD_CODE,STRING
LIFE_IN_MONTHS,NUMERIC
DEPRECIATE_LASTYEAR_FLAG,STRING
STL_METHOD_FLAG,STRING
RATE_SOURCE_RULE,STRING
DEPRN_BASIS_RULE,STRING
PRORATE_PERIODS_PER_YEAR,NUMERIC
NAME,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
EXCLUDE_SALVAGE_VALUE_FLAG,STRING
DEPRN_BASIS_FORMULA,STRING
DEPRN_BASIS_RULE_ID,NUMERIC
POLISH_ADJ_CALC_BASIS_FLAG,STRING
GUARANTEE_RATE_METHOD_FLAG,STRING
JP_IMP_CALC_BASIS_FLAG,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
