TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
SITE_USE_ID,NUMERIC
CUST_ACCT_SITE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
SITE_USE_CODE,STRING
PRIMARY_FLAG,STRING
STATUS,STRING
LOCATION,STRING
LAST_UPDATE_LOGIN,NUMERIC
CONTACT_ID,NUMERIC
BILL_TO_SITE_USE_ID,NUMERIC
ORIG_SYSTEM_REFERENCE,STRING
SIC_CODE,STRING
PAYMENT_TERM_ID,NUMERIC
GSA_INDICATOR,STRING
SHIP_PARTIAL,STRING
SHIP_VIA,STRING
FOB_POINT,STRING
ORDER_TYPE_ID,NUMERIC
PRICE_LIST_ID,NUMERIC
FREIGHT_TERM,STRING
WAREHOUSE_ID,NUMERIC
TERRITORY_ID,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
TAX_REFERENCE,STRING
SORT_PRIORITY,NUMERIC
TAX_CODE,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
ATTRIBUTE25,STRING
LAST_ACCRUE_CHARGE_DATE,DATETIME
SECOND_LAST_ACCRUE_CHARGE_DATE,DATETIME
LAST_UNACCRUE_CHARGE_DATE,DATETIME
SECOND_LAST_UNACCRUE_CHRG_DATE,DATETIME
DEMAND_CLASS_CODE,STRING
ORG_ID,NUMERIC
TAX_HEADER_LEVEL_FLAG,STRING
TAX_ROUNDING_RULE,STRING
WH_UPDATE_DATE,DATETIME
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
PRIMARY_SALESREP_ID,NUMERIC
FINCHRG_RECEIVABLES_TRX_ID,NUMERIC
DATES_NEGATIVE_TOLERANCE,NUMERIC
DATES_POSITIVE_TOLERANCE,NUMERIC
DATE_TYPE_PREFERENCE,STRING
OVER_SHIPMENT_TOLERANCE,NUMERIC
UNDER_SHIPMENT_TOLERANCE,NUMERIC
ITEM_CROSS_REF_PREF,STRING
OVER_RETURN_TOLERANCE,NUMERIC
UNDER_RETURN_TOLERANCE,NUMERIC
SHIP_SETS_INCLUDE_LINES_FLAG,STRING
ARRIVALSETS_INCLUDE_LINES_FLAG,STRING
SCHED_DATE_PUSH_FLAG,STRING
INVOICE_QUANTITY_RULE,STRING
PRICING_EVENT,STRING
GL_ID_REC,NUMERIC
GL_ID_REV,NUMERIC
GL_ID_TAX,NUMERIC
GL_ID_FREIGHT,NUMERIC
GL_ID_CLEARING,NUMERIC
GL_ID_UNBILLED,NUMERIC
GL_ID_UNEARNED,NUMERIC
GL_ID_UNPAID_REC,NUMERIC
GL_ID_REMITTANCE,NUMERIC
GL_ID_FACTOR,NUMERIC
TAX_CLASSIFICATION,STRING
OBJECT_VERSION_NUMBER,NUMERIC
CREATED_BY_MODULE,STRING
APPLICATION_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
