SourceField,DataType
LEDGER_ID,NUMERIC
NAME,STRING
SHORT_NAME,STRING
DESCRIPTION,STRING
LEDGER_CATEGORY_CODE,STRING
ALC_LEDGER_TYPE_CODE,STRING
OBJECT_TYPE_CODE,STRING
LE_LEDGER_TYPE_CODE,STRING
COMPLETION_STATUS_CODE,STRING
CONFIGURATION_ID,NUMERIC
CHART_OF_ACCOUNTS_ID,NUMERIC
CURRENCY_CODE,STRING
PERIOD_SET_NAME,STRING
ACCOUNTED_PERIOD_TYPE,STRING
FIRST_LEDGER_PERIOD_NAME,STRING
RET_EARN_CODE_COMBINATION_ID,NUMERIC
SUSPENSE_ALLOWED_FLAG,STRING
ALLOW_INTERCOMPANY_POST_FLAG,STRING
TRACK_ROUNDING_IMBALANCE_FLAG,STRING
ENABLE_AVERAGE_BALANCES_FLAG,STRING
CUM_TRANS_CODE_COMBINATION_ID,NUMERIC
RES_ENCUMB_CODE_COMBINATION_ID,NUMERIC
NET_INCOME_CODE_COMBINATION_ID,NUMERIC
ROUNDING_CODE_COMBINATION_ID,NUMERIC
ENABLE_BUDGETARY_CONTROL_FLAG,STRING
REQUIRE_BUDGET_JOURNALS_FLAG,STRING
ENABLE_JE_APPROVAL_FLAG,STRING
ENABLE_AUTOMATIC_TAX_FLAG,STRING
CONSOLIDATION_LEDGER_FLAG,STRING
TRANSLATE_EOD_FLAG,STRING
TRANSLATE_QATD_FLAG,STRING
TRANSLATE_YATD_FLAG,STRING
TRANSACTION_CALENDAR_ID,NUMERIC
DAILY_TRANSLATION_RATE_TYPE,STRING
AUTOMATICALLY_CREATED_FLAG,STRING
BAL_SEG_VALUE_OPTION_CODE,STRING
BAL_SEG_COLUMN_NAME,STRING
MGT_SEG_VALUE_OPTION_CODE,STRING
MGT_SEG_COLUMN_NAME,STRING
BAL_SEG_VALUE_SET_ID,NUMERIC
MGT_SEG_VALUE_SET_ID,NUMERIC
IMPLICIT_ACCESS_SET_ID,NUMERIC
CRITERIA_SET_ID,NUMERIC
FUTURE_ENTERABLE_PERIODS_LIMIT,NUMERIC
LEDGER_ATTRIBUTES,STRING
IMPLICIT_LEDGER_SET_ID,NUMERIC
LATEST_OPENED_PERIOD_NAME,STRING
LATEST_ENCUMBRANCE_YEAR,NUMERIC
PERIOD_AVERAGE_RATE_TYPE,STRING
PERIOD_END_RATE_TYPE,STRING
BUDGET_PERIOD_AVG_RATE_TYPE,STRING
BUDGET_PERIOD_END_RATE_TYPE,STRING
SLA_ACCOUNTING_METHOD_CODE,STRING
SLA_ACCOUNTING_METHOD_TYPE,STRING
SLA_DESCRIPTION_LANGUAGE,STRING
SLA_ENTERED_CUR_BAL_SUS_CCID,NUMERIC
SLA_SEQUENCING_FLAG,STRING
SLA_BAL_BY_LEDGER_CURR_FLAG,STRING
SLA_LEDGER_CUR_BAL_SUS_CCID,NUMERIC
ENABLE_SECONDARY_TRACK_FLAG,STRING
ENABLE_REVAL_SS_TRACK_FLAG,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CONTEXT,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ENABLE_RECONCILIATION_FLAG,STRING
CREATE_JE_FLAG,STRING
SLA_LEDGER_CASH_BASIS_FLAG,STRING
COMPLETE_FLAG,STRING
COMMITMENT_BUDGET_FLAG,STRING
NET_CLOSING_BAL_FLAG,STRING
AUTOMATE_SEC_JRNL_REV_FLAG,STRING
