SourceField,DataType
CUST_ACCOUNT_ID,INTEGER
PARTY_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
ACCOUNT_NUMBER,STRING
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,STRING
PROGRAM_ID,STRING
PROGRAM_UPDATE_DATE,STRING
WH_UPDATE_DATE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
ORIG_SYSTEM_REFERENCE,STRING
STATUS,STRING
CUSTOMER_TYPE,STRING
CUSTOMER_CLASS_CODE,STRING
PRIMARY_SALESREP_ID,STRING
SALES_CHANNEL_CODE,STRING
ORDER_TYPE_ID,STRING
PRICE_LIST_ID,STRING
SUBCATEGORY_CODE,STRING
TAX_CODE,STRING
FOB_POINT,STRING
FREIGHT_TERM,STRING
SHIP_PARTIAL,STRING
SHIP_VIA,STRING
WAREHOUSE_ID,STRING
PAYMENT_TERM_ID,INTEGER
TAX_HEADER_LEVEL_FLAG,BOOLEAN
TAX_ROUNDING_RULE,STRING
COTERMINATE_DAY_MONTH,STRING
PRIMARY_SPECIALIST_ID,STRING
SECONDARY_SPECIALIST_ID,STRING
ACCOUNT_LIABLE_FLAG,BOOLEAN
RESTRICTION_LIMIT_AMOUNT,STRING
CURRENT_BALANCE,STRING
PASSWORD_TEXT,STRING
HIGH_PRIORITY_INDICATOR,STRING
ACCOUNT_ESTABLISHED_DATE,STRING
ACCOUNT_TERMINATION_DATE,STRING
ACCOUNT_ACTIVATION_DATE,STRING
CREDIT_CLASSIFICATION_CODE,STRING
DEPARTMENT,STRING
MAJOR_ACCOUNT_NUMBER,STRING
HOTWATCH_SERVICE_FLAG,STRING
HOTWATCH_SVC_BAL_IND,STRING
HELD_BILL_EXPIRATION_DATE,STRING
HOLD_BILL_FLAG,BOOLEAN
HIGH_PRIORITY_REMARKS,STRING
PO_EFFECTIVE_DATE,STRING
PO_EXPIRATION_DATE,STRING
REALTIME_RATE_FLAG,STRING
SINGLE_USER_FLAG,STRING
WATCH_ACCOUNT_FLAG,STRING
WATCH_BALANCE_INDICATOR,STRING
GEO_CODE,STRING
ACCT_LIFE_CYCLE_STATUS,STRING
ACCOUNT_NAME,STRING
DEPOSIT_REFUND_METHOD,STRING
DORMANT_ACCOUNT_FLAG,BOOLEAN
NPA_NUMBER,STRING
PIN_NUMBER,STRING
SUSPENSION_DATE,STRING
WRITE_OFF_ADJUSTMENT_AMOUNT,STRING
WRITE_OFF_PAYMENT_AMOUNT,STRING
WRITE_OFF_AMOUNT,STRING
SOURCE_CODE,STRING
COMPETITOR_TYPE,STRING
COMMENTS,STRING
DATES_NEGATIVE_TOLERANCE,STRING
DATES_POSITIVE_TOLERANCE,STRING
DATE_TYPE_PREFERENCE,STRING
OVER_SHIPMENT_TOLERANCE,STRING
UNDER_SHIPMENT_TOLERANCE,STRING
OVER_RETURN_TOLERANCE,STRING
UNDER_RETURN_TOLERANCE,STRING
ITEM_CROSS_REF_PREF,STRING
SHIP_SETS_INCLUDE_LINES_FLAG,BOOLEAN
ARRIVALSETS_INCLUDE_LINES_FLAG,BOOLEAN
SCHED_DATE_PUSH_FLAG,BOOLEAN
INVOICE_QUANTITY_RULE,STRING
PRICING_EVENT,STRING
ACCOUNT_REPLICATION_KEY,INTEGER
STATUS_UPDATE_DATE,STRING
AUTOPAY_FLAG,STRING
NOTIFY_FLAG,STRING
LAST_BATCH_ID,STRING
ORG_ID,STRING
OBJECT_VERSION_NUMBER,INTEGER
CREATED_BY_MODULE,STRING
APPLICATION_ID,INTEGER
SELLING_PARTY_ID,STRING
