SourceField,DataType
BOOK_TYPE_CODE,STRING
BOOK_TYPE_NAME,STRING
SET_OF_BOOKS_ID,NUMERIC
INITIAL_DATE,DATETIME
LAST_DEPRN_RUN_DATE,DATETIME
AMORTIZE_FLAG,STRING
FULLY_RESERVED_FLAG,STRING
DEPRN_CALENDAR,STRING
BOOK_CLASS,STRING
GL_POSTING_ALLOWED_FLAG,STRING
CURRENT_FISCAL_YEAR,NUMERIC
ALLOW_MASS_CHANGES,STRING
ALLOW_DEPRN_ADJUSTMENTS,STRING
ACCOUNTING_FLEX_STRUCTURE,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
PRORATE_CALENDAR,STRING
DATE_INEFFECTIVE,DATETIME
JE_RETIREMENT_CATEGORY,STRING
JE_DEPRECIATION_CATEGORY,STRING
JE_RECLASS_CATEGORY,STRING
GL_JE_SOURCE,STRING
JE_ADDITION_CATEGORY,STRING
JE_ADJUSTMENT_CATEGORY,STRING
DISTRIBUTION_SOURCE_BOOK,STRING
JE_TRANSFER_CATEGORY,STRING
COPY_RETIREMENTS_FLAG,STRING
COPY_ADJUSTMENTS_FLAG,STRING
DEPRN_REQUEST_ID,NUMERIC
ALLOW_COST_CEILING,STRING
ALLOW_DEPRN_EXP_CEILING,STRING
CALCULATE_NBV,STRING
RUN_YEAR_END_PROGRAM,STRING
JE_DEFERRED_DEPRN_CATEGORY,STRING
ITC_ALLOWED_FLAG,STRING
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
ALLOW_MASS_COPY,STRING
ALLOW_PURGE_FLAG,STRING
ALLOW_REVAL_FLAG,STRING
AMORTIZE_REVAL_RESERVE_FLAG,STRING
AP_INTERCOMPANY_ACCT,STRING
AR_INTERCOMPANY_ACCT,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
CAPITAL_GAIN_THRESHOLD,NUMERIC
COPY_SALVAGE_VALUE_FLAG,STRING
COST_OF_REMOVAL_CLEARING_ACCT,STRING
COST_OF_REMOVAL_GAIN_ACCT,STRING
COST_OF_REMOVAL_LOSS_ACCT,STRING
