SourceField,DataType
JE_SOURCE_NAME,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
OVERRIDE_EDITS_FLAG,BOOLEAN
USER_JE_SOURCE_NAME,STRING
JOURNAL_REFERENCE_FLAG,BOOLEAN
EFFECTIVE_DATE_RULE_CODE,STRING
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
DESCRIPTION,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
CONTEXT,STRING
JOURNAL_APPROVAL_FLAG,BOOLEAN
LANGUAGE,STRING
SOURCE_LANG,STRING
IMPORT_USING_KEY_FLAG,BOOLEAN
JE_SOURCE_KEY,STRING
