SourceField,DataType
FROM_CURRENCY,STRING
TO_CURRENCY,STRING
CONVERSION_DATE,TIMESTAMP
CONVERSION_TYPE,STRING
CONVERSION_RATE,FLOAT
STATUS_CODE,STRING
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CONTEXT,STRING
ATTRIBUTE1,BOOLEAN
ATTRIBUTE2,FLOAT
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
RATE_SOURCE_CODE,STRING
