SourceField,DataType
JE_BATCH_ID,NUMERIC
JE_HEADER_ID,NUMERIC
JE_LINE_NUM,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
REFERENCE_1,STRING
REFERENCE_2,STRING
REFERENCE_3,STRING
REFERENCE_4,STRING
REFERENCE_5,STRING
REFERENCE_6,STRING
REFERENCE_7,STRING
REFERENCE_8,STRING
REFERENCE_9,STRING
REFERENCE_10,STRING
SUBLEDGER_DOC_SEQUENCE_ID,NUMERIC
SUBLEDGER_DOC_SEQUENCE_VALUE,NUMERIC
GL_SL_LINK_ID,NUMERIC
GL_SL_LINK_TABLE,STRING
