SourceField,DataType
CUST_TRX_LINE_GL_DIST_ID,STRING
CUSTOMER_TRX_LINE_ID,INTEGER
CODE_COMBINATION_ID,INTEGER
SET_OF_BOOKS_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
PERCENT,FLOAT
AMOUNT,FLOAT
GL_DATE,TIMESTAMP
GL_POSTED_DATE,TIMESTAMP
CUST_TRX_LINE_SALESREP_ID,STRING
COMMENTS,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
CONCATENATED_SEGMENTS,STRING
ORIGINAL_GL_DATE,TIMESTAMP
POST_REQUEST_ID,STRING
POSTING_CONTROL_ID,INTEGER
ACCOUNT_CLASS,STRING
RA_POST_LOOP_NUMBER,STRING
CUSTOMER_TRX_ID,INTEGER
ACCOUNT_SET_FLAG,BOOLEAN
ACCTD_AMOUNT,FLOAT
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
LATEST_REC_FLAG,BOOLEAN
ORG_ID,INTEGER
MRC_GL_POSTED_DATE,STRING
MRC_POSTING_CONTROL_ID,STRING
MRC_ACCTD_AMOUNT,STRING
MRC_ACCOUNT_CLASS,STRING
MRC_CUSTOMER_TRX_ID,STRING
MRC_AMOUNT,STRING
COLLECTED_TAX_CCID,STRING
COLLECTED_TAX_CONCAT_SEG,STRING
REVENUE_ADJUSTMENT_ID,STRING
REV_ADJ_CLASS_TEMP,STRING
REC_OFFSET_FLAG,STRING
CCID_CHANGE_FLAG,BOOLEAN
EVENT_ID,INTEGER
USER_GENERATED_FLAG,STRING
ROUNDING_CORRECTION_FLAG,STRING
COGS_REQUEST_ID,STRING
