SourceField,DataType
LOCATION_ID,INTEGER
ENTERED_BY,INTEGER
LOCATION_CODE,STRING
ADDRESS_LINE_1,STRING
ADDRESS_LINE_2,STRING
ADDRESS_LINE_3,STRING
BILL_TO_SITE_FLAG,BOOLEAN
COUNTRY,STRING
DESCRIPTION,STRING
DESIGNATED_RECEIVER_ID,INTEGER
IN_ORGANIZATION_FLAG,BOOLEAN
INACTIVE_DATE,TIMESTAMP
INVENTORY_ORGANIZATION_ID,INTEGER
OFFICE_SITE_FLAG,STRING
POSTAL_CODE,STRING
RECEIVING_SITE_FLAG,BOOLEAN
REGION_1,STRING
REGION_2,STRING
REGION_3,STRING
SHIP_TO_LOCATION_ID,INTEGER
SHIP_TO_SITE_FLAG,BOOLEAN
STYLE,STRING
TAX_NAME,STRING
TELEPHONE_NUMBER_1,STRING
TELEPHONE_NUMBER_2,STRING
TELEPHONE_NUMBER_3,STRING
TOWN_OR_CITY,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,INTEGER
ATTRIBUTE5,INTEGER
ATTRIBUTE6,INTEGER
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,INTEGER
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,INTEGER
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
OBJECT_VERSION_NUMBER,INTEGER
TP_HEADER_ID,STRING
ECE_TP_LOCATION_CODE,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,INTEGER
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
BUSINESS_GROUP_ID,INTEGER
LOC_INFORMATION13,STRING
LOC_INFORMATION14,STRING
LOC_INFORMATION15,STRING
LOC_INFORMATION16,STRING
LOC_INFORMATION17,STRING
GEOMETRY,STRING
LOC_INFORMATION18,STRING
LOC_INFORMATION19,STRING
LOC_INFORMATION20,INTEGER
DERIVED_LOCALE,STRING
LEGAL_ADDRESS_FLAG,BOOLEAN
TIMEZONE_CODE,STRING
