SourceField,DataType
LINE_LOCATION_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
PO_HEADER_ID,INTEGER
PO_LINE_ID,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
QUANTITY,FLOAT
QUANTITY_RECEIVED,FLOAT
QUANTITY_ACCEPTED,INTEGER
QUANTITY_REJECTED,INTEGER
QUANTITY_BILLED,FLOAT
QUANTITY_CANCELLED,FLOAT
UNIT_MEAS_LOOKUP_CODE,STRING
PO_RELEASE_ID,INTEGER
SHIP_TO_LOCATION_ID,INTEGER
SHIP_VIA_LOOKUP_CODE,STRING
NEED_BY_DATE,TIMESTAMP
PROMISED_DATE,TIMESTAMP
LAST_ACCEPT_DATE,TIMESTAMP
PRICE_OVERRIDE,FLOAT
ENCUMBERED_FLAG,BOOLEAN
ENCUMBERED_DATE,STRING
UNENCUMBERED_QUANTITY,STRING
FOB_LOOKUP_CODE,STRING
FREIGHT_TERMS_LOOKUP_CODE,STRING
TAXABLE_FLAG,BOOLEAN
TAX_NAME,STRING
ESTIMATED_TAX_AMOUNT,STRING
FROM_HEADER_ID,STRING
FROM_LINE_ID,STRING
FROM_LINE_LOCATION_ID,STRING
START_DATE,STRING
END_DATE,STRING
LEAD_TIME,STRING
LEAD_TIME_UNIT,STRING
PRICE_DISCOUNT,STRING
TERMS_ID,STRING
APPROVED_FLAG,STRING
APPROVED_DATE,TIMESTAMP
CLOSED_FLAG,STRING
CANCEL_FLAG,BOOLEAN
CANCELLED_BY,INTEGER
CANCEL_DATE,TIMESTAMP
CANCEL_REASON,STRING
FIRM_STATUS_LOOKUP_CODE,BOOLEAN
FIRM_DATE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
UNIT_OF_MEASURE_CLASS,STRING
ENCUMBER_NOW,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
INSPECTION_REQUIRED_FLAG,BOOLEAN
RECEIPT_REQUIRED_FLAG,BOOLEAN
QTY_RCV_TOLERANCE,FLOAT
QTY_RCV_EXCEPTION_CODE,STRING
ENFORCE_SHIP_TO_LOCATION_CODE,STRING
ALLOW_SUBSTITUTE_RECEIPTS_FLAG,BOOLEAN
DAYS_EARLY_RECEIPT_ALLOWED,INTEGER
DAYS_LATE_RECEIPT_ALLOWED,INTEGER
RECEIPT_DAYS_EXCEPTION_CODE,STRING
INVOICE_CLOSE_TOLERANCE,INTEGER
RECEIVE_CLOSE_TOLERANCE,FLOAT
SHIP_TO_ORGANIZATION_ID,INTEGER
SHIPMENT_NUM,INTEGER
SOURCE_SHIPMENT_ID,STRING
SHIPMENT_TYPE,STRING
CLOSED_CODE,STRING
REQUEST_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
RECEIVING_ROUTING_ID,INTEGER
ACCRUE_ON_RECEIPT_FLAG,BOOLEAN
CLOSED_REASON,STRING
CLOSED_DATE,TIMESTAMP
CLOSED_BY,INTEGER
ORG_ID,INTEGER
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
