SourceField,DataType
FLEX_VALUE_SET_ID,INTEGER
FLEX_VALUE_ID,INTEGER
FLEX_VALUE,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
ENABLED_FLAG,BOOLEAN
SUMMARY_FLAG,BOOLEAN
START_DATE_ACTIVE,TIMESTAMP
END_DATE_ACTIVE,TIMESTAMP
PARENT_FLEX_VALUE_LOW,STRING
PARENT_FLEX_VALUE_HIGH,STRING
STRUCTURED_HIERARCHY_LEVEL,STRING
HIERARCHY_LEVEL,STRING
COMPILED_VALUE_ATTRIBUTES,STRING
VALUE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,INTEGER
ATTRIBUTE16,INTEGER
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
ATTRIBUTE25,STRING
ATTRIBUTE26,STRING
ATTRIBUTE27,STRING
ATTRIBUTE28,STRING
ATTRIBUTE29,STRING
ATTRIBUTE30,STRING
ATTRIBUTE31,STRING
ATTRIBUTE32,STRING
ATTRIBUTE33,STRING
ATTRIBUTE34,STRING
ATTRIBUTE35,STRING
ATTRIBUTE36,STRING
ATTRIBUTE37,STRING
ATTRIBUTE38,STRING
ATTRIBUTE39,STRING
ATTRIBUTE40,STRING
ATTRIBUTE41,STRING
ATTRIBUTE42,STRING
ATTRIBUTE43,STRING
ATTRIBUTE44,STRING
ATTRIBUTE45,STRING
ATTRIBUTE46,STRING
ATTRIBUTE47,STRING
ATTRIBUTE48,STRING
ATTRIBUTE49,STRING
ATTRIBUTE50,STRING
ATTRIBUTE_SORT_ORDER,STRING
