SourceField,DataType
ACCOUNTING_DATE,TIMESTAMP
ACCRUAL_POSTED_FLAG,BOOLEAN
AMOUNT,FLOAT
CASH_POSTED_FLAG,BOOLEAN
CHECK_ID,INTEGER
INVOICE_ID,INTEGER
INVOICE_PAYMENT_ID,INTEGER
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
PAYMENT_NUM,INTEGER
PERIOD_NAME,STRING
POSTED_FLAG,BOOLEAN
SET_OF_BOOKS_ID,INTEGER
ACCTS_PAY_CODE_COMBINATION_ID,INTEGER
ASSET_CODE_COMBINATION_ID,INTEGER
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
LAST_UPDATE_LOGIN,INTEGER
BANK_ACCOUNT_NUM,STRING
BANK_ACCOUNT_TYPE,STRING
BANK_NUM,STRING
DISCOUNT_LOST,INTEGER
DISCOUNT_TAKEN,INTEGER
EXCHANGE_DATE,TIMESTAMP
EXCHANGE_RATE,FLOAT
EXCHANGE_RATE_TYPE,STRING
GAIN_CODE_COMBINATION_ID,INTEGER
INVOICE_BASE_AMOUNT,FLOAT
LOSS_CODE_COMBINATION_ID,INTEGER
PAYMENT_BASE_AMOUNT,FLOAT
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
CASH_JE_BATCH_ID,STRING
FUTURE_PAY_CODE_COMBINATION_ID,INTEGER
FUTURE_PAY_POSTED_FLAG,BOOLEAN
JE_BATCH_ID,STRING
ELECTRONIC_TRANSFER_ID,STRING
ASSETS_ADDITION_FLAG,STRING
INVOICE_PAYMENT_TYPE,STRING
OTHER_INVOICE_ID,STRING
ORG_ID,INTEGER
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
EXTERNAL_BANK_ACCOUNT_ID,INTEGER
MRC_ACCRUAL_POSTED_FLAG,STRING
MRC_CASH_POSTED_FLAG,STRING
MRC_POSTED_FLAG,STRING
MRC_EXCHANGE_DATE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_GAIN_CODE_COMBINATION_ID,STRING
MRC_INVOICE_BASE_AMOUNT,STRING
MRC_LOSS_CODE_COMBINATION_ID,STRING
MRC_PAYMENT_BASE_AMOUNT,STRING
MRC_CASH_JE_BATCH_ID,STRING
MRC_FUTURE_PAY_POSTED_FLAG,STRING
MRC_JE_BATCH_ID,STRING
ACCOUNTING_EVENT_ID,INTEGER
REVERSAL_FLAG,BOOLEAN
REVERSAL_INV_PMT_ID,INTEGER
IBAN_NUMBER,STRING
INVOICING_PARTY_ID,INTEGER
INVOICING_PARTY_SITE_ID,INTEGER
INVOICING_VENDOR_SITE_ID,INTEGER
REMIT_TO_SUPPLIER_NAME,STRING
REMIT_TO_SUPPLIER_ID,INTEGER
REMIT_TO_SUPPLIER_SITE,STRING
REMIT_TO_SUPPLIER_SITE_ID,INTEGER
