SourceField,DataType
LEDGER_ID,NUMERIC
CODE_COMBINATION_ID,NUMERIC
CURRENCY_CODE,STRING
PERIOD_NAME,STRING
ACTUAL_FLAG,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
BUDGET_VERSION_ID,NUMERIC
ENCUMBRANCE_TYPE_ID,NUMERIC
TRANSLATED_FLAG,STRING
REVALUATION_STATUS,STRING
PERIOD_TYPE,STRING
PERIOD_YEAR,NUMERIC
PERIOD_NUM,NUMERIC
PERIOD_NET_DR,NUMERIC
PERIOD_NET_CR,NUMERIC
PERIOD_TO_DATE_ADB,NUMERIC
QUARTER_TO_DATE_DR,NUMERIC
QUARTER_TO_DATE_CR,NUMERIC
QUARTER_TO_DATE_ADB,NUMERIC
YEAR_TO_DATE_ADB,NUMERIC
PROJECT_TO_DATE_DR,NUMERIC
PROJECT_TO_DATE_CR,NUMERIC
PROJECT_TO_DATE_ADB,NUMERIC
BEGIN_BALANCE_DR,NUMERIC
BEGIN_BALANCE_CR,NUMERIC
PERIOD_NET_DR_BEQ,NUMERIC
PERIOD_NET_CR_BEQ,NUMERIC
BEGIN_BALANCE_DR_BEQ,NUMERIC
BEGIN_BALANCE_CR_BEQ,NUMERIC
TEMPLATE_ID,NUMERIC
ENCUMBRANCE_DOC_ID,NUMERIC
ENCUMBRANCE_LINE_NUM,NUMERIC
QUARTER_TO_DATE_DR_BEQ,NUMERIC
QUARTER_TO_DATE_CR_BEQ,NUMERIC
PROJECT_TO_DATE_DR_BEQ,NUMERIC
PROJECT_TO_DATE_CR_BEQ,NUMERIC
