SourceField,DataType
INVOICE_ID,INTEGER
LINE_LOCATION_ID,INTEGER
HOLD_LOOKUP_CODE,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
HELD_BY,INTEGER
HOLD_DATE,TIMESTAMP
HOLD_REASON,STRING
RELEASE_LOOKUP_CODE,STRING
RELEASE_REASON,STRING
STATUS_FLAG,STRING
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ORG_ID,INTEGER
RESPONSIBILITY_ID,INTEGER
RCV_TRANSACTION_ID,INTEGER
HOLD_DETAILS,STRING
LINE_NUMBER,STRING
HOLD_ID,INTEGER
WF_STATUS,STRING
