SourceField,DataType
JE_SOURCE_NAME,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
OVERRIDE_EDITS_FLAG,STRING
USER_JE_SOURCE_NAME,STRING
JOURNAL_REFERENCE_FLAG,STRING
EFFECTIVE_DATE_RULE_CODE,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
DESCRIPTION,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
CONTEXT,STRING
JOURNAL_APPROVAL_FLAG,STRING
LANGUAGE,STRING
SOURCE_LANG,STRING
IMPORT_USING_KEY_FLAG,STRING
JE_SOURCE_KEY,STRING
